<ГЛАВА 1: НОВОБРАНЕЦ>          |1)Начать главу |1 | 
Ты и Сивилл решили объединится. Улль выдал каждому новобранцу лук со стрелами, короткий меч и нож.*А так же выдал каждому из Вас по 30 лунаров.*- Ваша плата за службу так сказать. - с улыбкой проговорил Улль.*- Почему так мало, Улль? - с насмешкой выкрикнул Ранн.*- Нам говорили что герои получают больше лунаров! - следом крикнул Рауд.*Улль обернулся и подошел к двум братьям. Смотря на них он проговорил: - Вам двум рыжим идиотам я бы вообще не платил лунары, просто потому что поведение оставляет желать лучшего!*- И не называй меня по имени, Ранн. Для тебя и для остальных я Наставник Отряда Когтей Улль. - строго проговорил Улль стоя очень близко к Ранну.*На секунду тебе показалось что Улль и братья близнецы давно знакомы друг с другом.          |1)Спросить Сивилла о братьях 2)Ожидать задания от Улля |21 22 |
- А, они знакомы. - прошептал Сивилл.*- Эти двое украли в палатке яблоки, а Улль ловил их по всему центру, вот забавно же было! - посмеялся Сивилл.*Ты невольно улыбнулся.Сивилл продолжил: - В итоге конечно Улль поймал их и заставил оплатить украденные яблоки. Братья долго спорили кто будет платить, по итогу заплатил Ранн. Оказалось у Рауда не было денег! Да и вообще, они любят заниматься хулиганством. Не удивительно что их отец отправил сюда.*Вы с Сивиллом тихо посмеялись, и тебе стало ясно почему между Уллем и братьями такие напряженные отношения.          |1)Ожидать задания от Улля |22 |
-И так, начнем с лука. Я попросил Вас поделится на пары, что бы один из Вас стрелял, а другой считал попадания. - строго и громко проговорил Улль.*Улль указал на пять стоящих мишеней. Все пары встали на против мишеней и приготовились стрелять.*Ты посмотрел на Сивилла а тот посмотрел на тебя и спросил: - Ты умеешь стрелять из лука?          |1)Да, немного 2)Нет, не умею |23 87 |
- О, я тоже умею стрелять из лука! Мой отец ведь лесник, обучил меня стрельбе. - с улыбкой и какой - то детской радостью сказал Сивилл.*- Кто будет стрелять первым? - спросил он.*Ты не успел ответить как Улль перебил ваш разговор: - Первыми будут стрелять Хантер и Бьерд, они первая пара. А вы ребята третьи по счету.*Ты и Сивилл кивнули.          |1)Посмотреть как стреляют другие 2)Подождать своей очереди |24 88 |
Ты решил понаблюдать за тем как стреляют другие коты.*Первыми были Хантер и Бьерд.*Первым на против мишени встал Хантер. Черный и мускулистый кот приготовился стрелять по мишени.*Хантер опустил свой черный с серыми пятнами хвост. Натянул тетиву и прищурил янтарный глаз.*Улль махнул рукой, подавая знак что можно начать.*Выпустив стрелу Хантер ухмыльнулся. Стрела попала точно в яблочко.*Опустив лук Хантер посмотрел в сторону тебя высокомерным взглядом. Вдруг Улль произнес: - Еще 9 выстрелов Хантер! Не расслабляйся!*Хантер поднял лук и сделал остальные выстрелы. Все 9 выстрелов так же попали в яблочко.*Хантер с довольным видом передал лук Бьерду и отошел в сторону, уступив место другому.*Сложив руки на груди, Хантер дернул хвостом давая понять что ему слишком легко.*- Молодец, Хантер. Но расслабляться не советую, все впереди. - сказал Улль.*Улль махнул рукой, снова подав знак что можно стрелять.*Бьерд попал 6 раз из 10.*- Не плохо Бьерд, но тренировки тебе не помешают. - строго сказал Улль.*Улль позвал следующих - Уну и Малько.          |1)Посмотреть как стреляют Уна и Малько |25 |
Уна вальяжно прошла к мишени. Рыжая кошка проходя мимо Хантера осмотрела его и дала понять что она не хуже.*Взяв лук в руки Уна встала в позу готовности. Натянув тетиву она посмотрела на Улля.*Улль махнул рукой, дав понять что можно делать выстрел.*Выпущенная стрела Уной попала точно в цель. Ты невольно улыбнулся.*Жестом Улль дал понять Уне что она может продолжать. Все ее выстрелы попали четко в яблочко. Уна спокойно передала лук Малько и отошла в сторону.*На морде Хантера было удивление, наверно не ожидал что кто - то будет стрелять не хуже его.*- Отличные выстрелы, Уна. Но скажу тебе тоже что и Хантеру - не расслабляться! - сказал Улль.*Малько же, попал в мишень 4 из 10 раз.*Ранн и Рауд стали подшучивать над Малько, на что Улль их поставил на место: - Я посмотрю как будете стрелять вы, после Сивилла и Харта.*Когда ты услышал свое имя, то немного напрягся. Улль жестом пригласил тебя и Сивилла к мишени.          |1)Пройти к мишени |26 |
Ты и Сивилл прошли к мишени. Первым стрелял Сивилл. Он ловко и быстро взял лук и не дожидаясь команды Улля выстрелил в мишень. Попал, попал прямо в яблочко заметил ты.*Сивилл! - строго сказал Улль. - Я ведь не давал еще команды стрелять!*- Простите. - неловко сказал Сивилл.*- Попадание отличное, и ты даже не стоял в правильной позе и даже толком не целился.. Кто тебя обучил этому? - строго но с удивлением спросил Улль.*- Отец. - ответил Сивилл.*Ты был удивлен на сколько ловко Сивилл выстрелил из лука и попал по мишени.*Улль не долго думая сказал: - Ладно, давай - ка еще 9 выстрелов.*Сивилл поднял лук и выстрелил еще 9 раз. Последний выстрел был мимо.*- Молодец Сивилл, но больше без моей команды не стреляй! - сказал Улль.*Сивилл кивнул головой и с довольной мордой передал лук тебе.*Улль что - то отметил в своем блокноте и поднял взгляд на тебя.*- Твоя очередь, Харт. Надеюсь, стрелять ты умеешь.          |1)Приготовиться к выстрелу |27 |
Ты немного умел стрелять, поэтому был уверен в том что хотя бы 3 раза из 10 ты попадешь.*Чувствуя взгляды других котов на себе, по телу прошлась дрожь.*Встав в позу и прицелившись в мишень, ты ждал команды Улля. Сивилл стоял рядом и прошептал: - не напрягай мышцы и расслабь все пальцы полностью когда будешь выпускать стрелу, Харт. Это поможет стреле долететь с минимальным отклонением.*Улль махнул рукой, давая тебе команду стрелять.*Ты выпускаешь стрелу следуя указаниям Сивилла и попадаешь в мишень.*Ты опускаешь лук и смотришь на Сивилла. Тот довольно кивает головой.*- Отличный первый выстрел, Харт. А как насчет остальных выстрелов? - одобряюще, но довольно строго сказал Улль.*В общей сумме ты попал 5 из 10 раз.*- Не плохо, Харт. Но тренировки тебе нужны, ты не уверенно держишь лук. - сказал Улль и следом пригласил остальных котов к мишени.*Сивилл положил тебе свою руку на плечо и как бы облокотившись сказал: - А мне понравилось.*Ты скрестил руки на груди и подумал о том, что за испытания еще придумал Улль.          |1)Узнать результаты |28 |
Выстроив всех в полукруг Улль назвал результаты:*- Хантер и Уна - 10 из 10 попаданий! Сивилл - 9 из 10. Ранн 8, Рауд 7 попаданий из 10.*Харт - 5 попадний из 10.*Малько 4 попадания и Чед 3 попадния из 10.*Улль осмотрел всех своим строгим взглядом и сказал: - Вам еще есть над чем работать, даже тем, кто попал 10 из 10. Тренироваться нужно всегда, будь вы новичком или матерым стрелком.*Все переглянулись друг на друга. Улль перевернул лист в своем блокноте и сказал: - Перейдем к мечам.          |1)Взять короткий меч |29 |
Все достали короткие мечи и приготовились слушать Улля. Ты заметил как многие из котов держали меч впервые. Ты был не исключением. Хоть ты и учился самостоятельно стрелять из лука когда был младше, но меча в руках ты не держал никогда.*Единственные, кто хорошо держал меч в руках это Хантер, Бьерд и Уна. Они явно держали короткий меч не в первый раз.*- Сначала я обучу вас как правильно держать меч и как защитить себя от ударов! - сказал Улль. - Далее попробуем атаковать и пробивать защиту.*Улль взял короткий меч и продемонстрировал как нужно держать меч и как правильно им управлять что бы заблокировать удар.*- Попробуйте вы сделать так же, а я подойду к каждому их Вас и поправлю если что - то не так. - сказал Улль.*Все стали пробовать держать меч и управлять им. Улль подходил к каждому и говорил о недочетах.*У тебя не плохо получалось, но тебе было достаточно тяжело управлять коротким мечом что бы поставить блок удару.*Спустя 20 минут тренировки Улль проговорил: - Теперь давайте попробуем с оппонентом. Кто хочет попробовать первым?*Хантер вытянул руку. Улль подозвал его к себе и сказал: - Нужен кто - то еще.          |1)Поднять руку 2)Не поднимать руку |30 89 |
- Харт! Отлично, выходи. - сказал Улль.*Ты вышел вперед и встал на против Хантера посмотрев прямо на него. Между тобой и Хантером пробежала искра соперничества.*- Если вы готовы, начинайте! - сказал Улль.*Ты встал в защитную позу. Вы стали двигаться по кругу при этом поворачиваясь друг другу лицом. Хантер хищно улыбнулся и сказал: - Харти, не того ты выбрал оппонента в бою. Я куда опытней и сильней чем ты. Кажется, ты сейчас проиграешь.*Не успел ты молвить и слова как Хантер налетел на тебя с ударом сверху. Ты успел заблокировать удар, но упал на землю. Ты опешил, но встал сразу же.*Следующий удар Хантера летел с левой стороны. Ты еле успел блокировать удар и снова упал на землю. Ты услышал голос Уны: - Харт! Действия всегда предсказуемы! Рано или поздно удары повторяются! Следи за его ведущей рукой!*Ты увидел как на тебя сверху летит удар Хантера. Ты успел перевернуться вправо и уклонился от удара.*- Сдайся Харти, ты не сможешь нанести мне даже одного удара. - с издевкой сказал Хантер.*Ты поднялся и встал в защитную стойку. Хантер летел на тебя с ударом справа - ты успел поставить блок но следом летел удар сверху. Ты толкнул Хантера ногой в живот и тот опешил.*- хитрый Харти, ногами толкаешь? - злобно сказал Хантер.*Слева, Справа, слева, справа летели удары Хантера. Ты успевал блокировать каждый но последний удар локтем ты не смог заблокировать. Хантер попал тебе прямо в нос. Кровь побежала ручьем и ты упал на землю.*- Хватит! - крикнул Улль. - Хантер, нужно знать меру в своей силе!*Дальше ты ничего не слышал так как потерял сознание.          |1)Закончить игру на этой главе 2)Перейти к следующей |31 123 |
Спасибо что прочли первую главу истории Туманного племени.*Это моя первая работа и надеюсь она вам понравилась.          |1)Закончить игру | |
Ты решил немного прогуляться по территории Туманного племени. Первым делом ты решил зайти:          |1)К друиду 2)На торговую площадь |33 92 |
Ты захотел заглянуть к друиду. Подойдя к шатру не малых размеров ты увидел как друид стоит у котла и что - то поет.          |1)Наблюдать за друидом 2)Поговорить с друидом |34 54 |
Ты охотно наблюдаешь за друидом.*Тебя привлекает его причудливый наряд. Перья, маленькие черепа, разноцветные ткани, большие и маленькие бусины - все это собирается в один странный наряд.*Лицо и тело друида раскрашены цветной краской. Белая краска - на лице, на теле же присутствует белая, синяя и фиолетовая краска.**Разнообразие рисунков на теле друида тебя поразило, так и хотелось дотронуться до них, ближе разглядеть.*Пение друида было не громким, но ты мог его услышать. Прислушиваясь к пению, ты не можешь разобрать слов, текст песни друида был не на привычном тебе языке. Ты подошел ближе.*Друид резко остановился и открыл глаза. Повернувшись в твою сторону он резко и быстро подошел к тебе и сказал: - Здравствуй, Харт. Я ждал тебя. Знал, что когда нибудь, ты заглянешь ко мне.*Ты замер. Зеленые, как спелые яблоки, глаза друида пугали тебя. Но было в них что - то таинственное. В твоей голове было много вопросов.*От куда он знает твое имя?*Почему он ждал тебя?*Может лучше уйти?          |1)Я хотел бы 2)Промолчать |35 65 |
Как только ты произнес слово друид сразу же тебя перебил.*- Я знаю чего ты хочешь. В твоей голове так много вопросов, и так мало ответов. Верно? - с едва видной улыбкой сказал друид.*- Ты можешь задать всего один вопрос, Харт. Только один. Но сначала, давай познакомимся. Ты ведь не знаешь моего имени, верно? - проговорил друид садясь на землю возле котла.          |1)Я не знаю твоего имени, но ты знаешь моё... |36 |
Друид улыбнулся. Жестом он пригласил сесть тебя на против. Ты принимаешь приглашение и садишься на против друида. Он протягивает тебе курительную трубку.*Не долго думая ты:          |1)Берёшь курительную трубку 2)Отказываешься |37 66 |
Взяв трубку в руки ты почувствовал запах смешанного табака с какими то травами. Ты посмотрел на друида. Он курил другую трубку, с точно таким же запахом. Смотря как горит огонь на костре друид проговорил: - Меня зовут <Гор>. Я знаю все то, чего не знает ни один кот племени Тумана.*Гор покурил из трубки еще раз. - Я могу предсказать будущее. Увидеть прошлое. И просмотреть настоящее.*Речь Гора завораживала тебя. Он говорил спокойно, но с загадкой.*- Задавай свой вопрос, Харт. Но помни, только один вопрос. - сказал друид покуривая из трубки.*Ты задумался. Что бы спросить у Друида?          |1)Спросить о судьбе 2)Спросить о любви 3)Спросить о племени |38 70 71 |
- Тебе интересна судьба? - спросил Гор. Друид близко пододвинулся к тебе и сказал: - Сейчас сам ее увидишь.*Гор коснулся пальцем твоего лба. Твои зрачки расширились и перед глазами стали бежать картинки.*Падение.*Взлет.*Потеря.*Приобретение.*Боль.*Радость.*Слишком ярко и красочно, что от иллюзий у тебя заболела голова. Твой разум затуманился и ты упал на землю.          |1)Очнуться |39 |
Ты открываешь глаза. Яркое солнце слепит тебе прямо в морду. Через секунду над тобой нависает лицо Гора, который что - то говорит.*- Харт. Поднимайся Харт.*Твое тело казалось тебе очень тяжелым и неподъемным. Друид взял тебя за руку и помог встать. Следом он сказал: - выпей это, пока будешь идти полегчает. Не переживай, ты провалялся не долго, так что успеешь на свое собрание.*Ты посмотрел на друида и принял странную жидкость из его рук.*Выпив полностью ты поморщился. Было слишком кисло, но потом отпустило.*Твой разум быстро пришел в себя, а тело стало легким. Ты почувствовал что тебе лучше.*Гор похлопал по твоему плечу и сказал: - Удачи Харт. Она тебе пригодиться.*Друид развернулся и продолжил что - то напевать у котла.          |1)Поспешить на собрание |40 |
Ты поторопился на собрание и подоспел во время. За твоей спиной прозвучал звук рога.          |1)Обратить внимание |8 |
Ты решил остаток времени провести с родителями. Твоя мама - лекарь. А отец работал под руководством Ваако - занимался деньгами и ресурсами.          |1)Пойти к матери 2)Пойти к отцу |42 50 |
Ты захотел повидать маму, поэтому направился в лечебницу. Когда ты вошел в здание лечебницы то случайно столкнулся с <Хлоей>.*Она бежала по коридору с какой то папкой, и не заметив тебя, ударилась в твое плечо.*Ты не ожидав такого удара не устоял на ногах и упал вместе с Хлоей. В твою голову прилетела папка с документами. Это было не больно поэтому ты быстро очухался и и огляделся.*Рядом с тобой сидела Хлоя и терла ладонью свой лоб.          |1)Собрать документы в папку и отдать Хлое	 2)Помочь Хлое встать и спросить в порядке ли она 3)Нахмуриться и злобно смотреть на Хлою |43 115 118 |
Ты начал собирать документы Хлои в папку сидя на полу. Листочки разлетелись по всем сторонам во круг Вас. Хлоя перестала тереть свой лоб и посмотрела на тебя. Она улыбнулась и виновато сказала: - О, прости Харт. Я не заметила тебя, так как очень торопилась.*Пока Хлоя говорила тебе свои извинения, ты быстро собрал все листы в папку и протянул ей.          |1)О Прости Хлоя, я очень тороплюсь. Ты не видела мою мать? |44 |
Хлоя удивленно посмотрела на тебя и ответила: - Твоя мама в дальнем кабинете коридора. Я как раз шла оттуда, у нее сейчас пациент. Ты быстро кивнул Хлое выражая благодарность и помчался в кабинет матери.*Хлоя обернулась посмотреть тебе в след. Она не понимала, почему ты так спешишь.          |1)Идти в кабинет |45 |
Подойдя к кабинету мамы ты постучал. Из кабинета послышался голос: - Не сейчас! У меня пациент! Подождите пару минут.          |1)Подождать пока Мама закончит 2)Приоткрыть дверь в кабинет |46 117 |
Ты решил подождать пока мама закончит прием.*Спустя 7 минут пациент вышел из кабинета и мамин голос произнес: - Заходите!*Ты встал со стула и направился в кабинет.          |1)Зайти |47 |
Мама что - то очень быстро писала в карту пациента. Ты сел на против нее на стул.*Когда мама подняла глаза она удивилась.*- Харти! Почему же ты сразу не зашел? - Мама положила ручку на стол и стала спрашивать: - Разве ты не должен быть на собрании новобранцев?          |1)Я решил перед этим навестить тебя |48 |
Мама улыбнулась и сказала: - Харти, я верю в тебя. Ты сможешь стать лучшим героем Туманного племени.*Тебя на секунду охватила гордость.*Мама посмотрела на часы и воскликнула: - Боже! Тебе пора идти Харти! Не забегай к отцу иначе опоздаешь на собрание!*Мама целует тебя в щеку и улыбается. Ты обнимаешь ее в ответ и выходишь из кабинета.*Мама провожает тебя заботливым взглядом.          |1)Идти на собрание новобранцев 2)Пойти к отцу |49 50 |
Ты побежал на собрание новобранцев что есть силы что бы не опоздать. Ты прибыл во время. Собрание как раз только началось. Ты понял это, потому что сзади тебя прозвучал рог.          |1)Обратить внимание |8 |
Ты решил навестить отца. Подойдя к Главному зданию ты задумался о том, что не знаешь где находится кабинет Ваако.*Ты решил что лучший способ узнать где находится кабинет, это:          |1)Найти самому 2)Спросить у сидящего за стойкой |51 120 |
Решение найти кабинет Ваако самому показалось тебе отличной идеей.*Спустя <10 минут> потраченного времени ты нашел кабинет Ваако. Смотря на часы ты понимаешь, что на собрание ты можешь не успеть, но раз уж ты пришел то зайдешь к отцу.*Подойдя к двери и дернув за ручку ты понял - кабинет закрыт.*Но спустя пару секунд в двери повернулся замок и она открылась. Отец хотел что - то сказать, но как только понял что это ты, его сын, заулыбался и просто обнял тебя.*Вы редко видитесь с отцом из - за его работы, поэтому она всегда был рад любой возможности побыть с тобой.*- Как ты, Харт? Готов к первому дню в качестве новобранца? - теплым и родным голосом сказал отец.          |1)Да, готов. Буду примерным героем 2)Немного сомневаюсь, но думаю, что смогу стать героем |52 122 |
- Хорошо. Верю в тебя, сын. - с надеждой в голосе сказал отец. - Кажется, ты уже опаздываешь на собрание. Иди, иначе пропустишь свои первые занятия. - спокойно проговорил отец.*Ты взглянул на часы. И правда, пора идти. Ты кивнул отцу головой и с легкой улыбкой стал уходить. Отец помахал тебе и закрыл за тобой дверь. Он скучал, и был рад тому что ты пришел.          |1)Бежать на собрание |53 |
Ты бежал на собрание со всех ног. Но увы, ты пропустил речь <Ваако> и лидера Туманного племени - <Туманной Жрицы>.*Когда ты пришел в центр территории Туманного племени, всех молодых котов уже созывал Улль.*Ты поторопился в сторону Улля, что бы не пропустить начало занятий.          |1)Подойти к Уллю |14 |
Ты решаешься подойти к друиду и задать ему вопрос.*Медленно подходя к котлу ты становишься возле него. Друид не обращает на тебя ни какого внимания и дальше продолжает свой ритуал.*Ты подумал, о чем хочешь спросить друида племени и решил:          |1)Спросить о судьбе 2)Спросить о любви 3)Спросить о племени |55 58 60 |
Как только ты захотел задать вопрос друид замолк и открыл глаза. Ты насторожился.*Друид повернулся в твою сторону и резко подошел к тебе. Смотря своими зелеными глазами, как спелые яблоки, он заговорил: - Я знаю о чем ты хочешь узнать, Харт. Я давно жду когда ты решишься ко мне зайти.*Ты замер. Твое сердце стучало так быстро как могло. Друид отодвинулся от твоего лица, и произнес: - Ты хочешь узнать свою судьбу, Харт?          |1)Да 2)Откуда вы знаете моё имя? 3)Откуда вы знаете, что я хочу узнать? |56 62 62 |
Друид улыбнулся и сказал: - Твоя судьба интереснее судьбы других котов. Я вижу, что в племени Тумана ты заработаешь величие. Но..*Ты посмотрел на друида вопросительным взглядом. Что но? - подумал ты.*Друид сел напротив своего котла, закурил трубку и сказал: - но путь твой будет сложен к величию. Ты многое потеряешь, но и приобретешь не мало.*Друид перевел свой взгляд на тебя.*- Меня зовут Гор, кстати. А тебе пора, ты можешь опоздать если задержишься еще.*Ты замешкался и вспомнил что тебе и правда пора. Ты попрощался с друидом и ушел.*Когда ты уходил, друид проводил тебя взглядом и тихо произнес: - Твой путь только начинается, герой.          |1)Поспешить на собрание |57 |
Ты поторопился на собрание и подоспел во время. За твоей спиной прозвучал звук рога.          |1)Обратить внимание |8 |
